"state","2022 Q3","2022 Q4","2023 Q1","2023 Q2"
"New South Wales",-0.4335621508500975,0.2700910616452697,-1.0067104317677944,7.422778692904999
"Victoria",-4.083173485520202,-2.144508278076111,-9.547720715817126,-4.2772429020931995
"Queensland",-13.759509841414493,-6.684936050010649,8.123856179281248,13.886525422046889
"South Australia",8.778857093595377,-6.957837378306235,-14.542087036275658,-14.168144469919635
"Western Australia",-17.64642231733826,4.6628272759431395,1.4764415599642735,15.525978311843957
"Tasmania",-9.103005127539431,-19.924713484515973,-3.6932513668634224,-4.867292456383019
"Australian Capital Territory",24.996363403262826,-0.4637893354290697,-12.76649619855387,-9.777454394262254
