"date","interest_charged","scheduled_payment","excess_payment"
"2009/03/31 00:00:00",13460.3295387306,17877.6628402285,7073.54480486466
"2009/06/30 00:00:00",12630.1099672502,18265.3254670284,2442.72949590775
"2009/09/30 00:00:00",12568.1788206271,17911.5684971451,3752.41221171487
"2009/12/31 00:00:00",13147.9237159054,18591.5738199186,3971.54825205492
"2010/03/31 00:00:00",14304.8148154962,19690.7064256737,4153.56955571524
"2010/06/30 00:00:00",15427.4456678467,20156.2852618525,5921.10399228379
"2010/09/30 00:00:00",16243.075786432,21178.6503571648,5184.61292613335
"2010/12/31 00:00:00",16974.8476029318,22059.7565170001,4618.74582815074
"2011/03/31 00:00:00",17631.1686311675,22134.5738351762,4615.60009570978
"2011/06/30 00:00:00",17808.7959306275,22447.5841579781,3943.24602191043
"2011/09/30 00:00:00",18138.3556357953,22739.0464218594,5208.93178389142
"2011/12/31 00:00:00",18152.052410996,22286.4595860091,5356.62209733888
"2012/03/31 00:00:00",17671.9897424564,22262.4239805719,4894.0292077279
"2012/06/30 00:00:00",17398.2551892009,21931.5343061197,5147.36865862493
"2012/09/30 00:00:00",16620.9072424491,21512.5498442763,5494.40669254268
"2012/12/31 00:00:00",16307.5926133189,21255.6538123826,5846.64257336763
"2013/03/31 00:00:00",15536.8377640225,21480.5640005175,6206.38138618064
"2013/06/30 00:00:00",15573.9863645946,22243.0452060178,7076.55184689044
"2013/09/30 00:00:00",15230.562308114,21323.2968157087,6149.37872861869
"2013/12/31 00:00:00",14860.0170713479,21531.7630589636,6817.48419373183
"2014/03/31 00:00:00",14776.6556683858,21319.7620447516,7915.83321162132
"2014/06/30 00:00:00",14800.1352176643,21341.8351916297,7451.47495449182
"2014/09/30 00:00:00",15028.1884930717,21578.1793819005,7633.97651982791
"2014/12/31 00:00:00",15144.3100351433,21684.8954895324,8331.80068608274
"2015/03/31 00:00:00",14925.7806089064,21569.9706180491,8965.19082267366
"2015/06/30 00:00:00",14483.4938303284,21382.2743854964,9379.52988453604
"2015/09/30 00:00:00",14481.7513071727,21555.9034645323,9827.93720010562
"2015/12/31 00:00:00",14620.121397205,21848.1005724118,8202.23267182145
"2016/03/31 00:00:00",14924.6809358128,22208.1344042873,6073.78919870464
"2016/06/30 00:00:00",14881.2927588013,22359.342470767,7425.0962569299
"2016/09/30 00:00:00",14568.7108073054,22069.9094133583,6156.1669127035
"2016/12/31 00:00:00",14271.1456914627,22349.3343108685,6651.00402592344
"2017/03/31 00:00:00",14411.1628262394,22405.4019228693,6099.76905440483
"2017/06/30 00:00:00",14743.2073872791,23200.6495214347,5635.28188516292
"2017/09/30 00:00:00",15086.9108132896,23816.6574097736,3822.66300620499
"2017/12/31 00:00:00",15182.9713969895,23912.4905514181,4998.1135331476
"2018/03/31 00:00:00",15233.9770364217,24330.5477146231,4242.32792238791
"2018/06/30 00:00:00",15434.1825117343,25091.9194926591,4301.15381130762
"2018/09/30 00:00:00",15536.6064331617,26021.2088594822,3000.02855235695
"2018/12/31 00:00:00",15751.3610586153,26198.0298297137,2156.72607610646
"2019/03/31 00:00:00",15455.2121791367,25436.9751389974,5764.01752881043
"2019/06/30 00:00:00",15605.9382133421,25975.5432414775,2442.78536900926
"2019/09/30 00:00:00",15013.4036438707,25924.2855751156,1974.99388310282
"2019/12/31 00:00:00",14358.4334895898,26376.4140509384,5859.17910844954
"2020/03/31 00:00:00",14399.3546115665,26813.6254427234,5932.15542131424
"2020/06/30 00:00:00",12939.2220682336,25790.9707645386,14599.9863626126
"2020/09/30 00:00:00",12402.9859934742,25421.4304586813,14118.8509404676
"2020/12/31 00:00:00",12334.7151620878,26000.8451925746,9708.74905346744
"2021/03/31 00:00:00",12261.6980966316,26626.0343317913,9071.29374303907
"2021/06/30 00:00:00",12356.6738929838,26923.7930555,7409.41240620219
"2021/09/30 00:00:00",12002.2115158693,26926.3260087348,15788.3063962057
"2021/12/31 00:00:00",11585.6019269167,26762.4741697694,11651.0164804844
"2022/03/31 00:00:00",11688.4925465407,27003.9387696271,9099.33223947481
"2022/06/30 00:00:00",12336.28931899,28164.6444783114,9624.36624297051
"2022/09/30 00:00:00",15565.8892902102,30409.4316787729,7459.19092309328
"2022/12/31 00:00:00",18749.8313683341,33021.1632774359,5754.84552866054
"2023/03/31 00:00:00",20941.0192421136,35382.3995601095,7426.62315686442
"2023/06/30 00:00:00",23167.9163442502,37766.0570267722,4244.82910073169
"2023/09/30 00:00:00",24867.1937567788,39641.006104139,6480.65446761953
